id,user_id,event_type,resource,resource_id,action,ip_address,created_at
f233bff6-eb4d-4176-a74b-bf865e344389,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,1491b7cd-0583-4634-bbee-81664d36d9b4,execute,,2026-06-16T10:20:56.304903
c338a612-b8f8-4c3a-a19f-2b6f5ac980c5,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,b0c4e530-f88d-4379-ae1e-3bbba2f7c13c,execute,,2026-06-16T10:20:57.325540
12a9b62f-2e17-4a73-b5b5-3f66debae851,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,153f811b-e769-47aa-b6b1-43387c8b3f8d,execute,,2026-06-16T10:20:57.952308
0c9bc0e4-4eb9-49e3-b0b6-b9808cba5dec,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,1706bf87-eae7-4bef-95cd-b63b31c51404,execute,,2026-06-16T10:20:58.734385
b8929be9-92d9-4230-b3a8-5ceb305e88a4,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,7a3b7674-9daa-4d70-905b-f11e5a0b6697,execute,,2026-06-16T10:20:59.479517
91b5142e-ba4f-4a46-b88d-126eb7819589,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,9f32c3fd-a56e-4eb7-bd94-eaa2d6e0d88c,execute,,2026-06-16T10:21:00.044467
b904fb52-d612-44ef-beef-28f7fada190f,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,e3dda2d7-0e3e-4044-a5fc-8a42bf52bfc2,execute,,2026-06-16T10:21:00.695302
462f4295-c7c3-43c2-a15f-01d7033ac8c4,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,7ec24048-06f7-4df5-a67a-5064f07b8fa1,execute,,2026-06-16T10:21:01.356671
d664f2ff-8a27-490b-9453-d52ff56cd3be,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,ac309525-3094-4a44-acd8-e2848b03b7b1,execute,,2026-06-16T10:21:02.409522
ff193432-5393-4ea9-bcce-5df269ad2d27,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,29b240d3-eff9-4fc4-95c8-2dbaa821af7a,execute,,2026-06-16T10:21:03.058222
bb0bf1dc-3252-4812-b5e9-58ac302172bc,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,0f6f0b3f-b28d-45df-8f00-770e265291cb,execute,,2026-06-16T10:21:03.676327
dbf11661-c7bb-41ea-a61a-ba99956df9d3,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,5dbd566c-f352-4273-9b00-3db73d955025,execute,,2026-06-16T10:21:04.235824
ab22d578-659a-47a9-ba86-51bc8768039f,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,91adeec7-3613-46d4-8ba6-0618fa85c888,execute,,2026-06-16T10:21:04.923177
ff9f40e2-fee7-4a10-aad8-7c7888e13afe,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,12130563-b4a8-42fe-a83b-9a6fb8fed691,execute,,2026-06-16T10:21:05.558710
f8b91cae-6207-4586-b6c1-4852f6cf4f81,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,771ca476-a598-4c8a-88f2-e78cf915735b,execute,,2026-06-16T10:21:06.353147
e0a01c2e-0282-4add-9dc1-5519fc443890,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,f58539d4-fd5c-4de3-bd9c-4eb1e2fdfd85,execute,,2026-06-16T10:21:07.197623
040ec853-cf5d-4dc5-a61f-700701f3d8c9,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,95799583-aa0f-4094-b6ba-b17230edb998,execute,,2026-06-16T10:21:07.791923
